Rank,College,City,State,Approval,Exam,Cutoff,First_Year_Fees,Average Package,Highest Package,Rating,Best In,National Rank
44,"MKSSS's Cummins College of Engineering for Women, Pune",Pune,Maharashtra,[AICTE NBA],-1,-1,175436,1269000,5000000,4.1,Placements,139
45,"Amity University, Noida",Noida,Uttar Pradesh,[NCTE AICTE COA BCI UGC],-1,-1,413000,-1,6175000,4,Infrastructure,143
46,"Galgotias College of Engineering and Technology - GCET, Greater Noida",Greater Noida,Uttar Pradesh,[AICTE NBA],-1,-1,115603,-1,3900000,3.9,Faculty,145
47,"Shoolini University, Solan",Solan,Himachal Pradesh,[AICTE PCI BCI UGC NBA],-1,-1,260000,-1,4200000,4.2,Social Life,150
48,"Walchand Institute of Technology - WIT, Solapur",Solapur,Maharashtra,[AICTE NBA],-1,-1,127000,469000,1250000,3.8,Academics,153
49,"ABES Engineering College, Ghaziabad",Ghaziabad,Uttar Pradesh,[AICTE NBA],-1,-1,153365,-1,5991000,4,Academics,154
50,"Birla Institute of Technology Extension Centre - BIT, Deoghar",Deoghar,Jharkhand,[AICTE],-1,-1,434000,653000,5100000,4,Faculty,155
51,"Bhilai Institute of Technology - BIT, Durg",Durg,Chhattisgarh,[AICTE NBA],-1,-1,77850,-1,-1,3.6,Academics,156
52,"GH Raisoni College of Engineering - GHRCE, Nagpur",Nagpur,Maharashtra,[AICTE NBA],-1,-1,138745,450000,1600000,4,Social Life,157
53,"Dayananda Sagar College of Engineering - DSCE, Bangalore",Bangalore,Karnataka,[AICTE UGC NBA],-1,-1,500000,-1,5100000,4,Infrastructure,158
54,"SSN College of Engineering - SSNCE, Chennai",Chennai,Tamil Nadu,[AICTE],-1,-1,55000,-1,10700000,4.1,Infrastructure,159
55,"Graphic Era University - GEU, Dehradun",Dehradun,Uttarakhand,[AICTE UGC NBA  AIU],-1,-1,323400,725000,8488000,4.1,Infrastructure,160
56,"K L University - KLU, Guntur",Guntur,Andhra Pradesh,[AICTE COA PCI UGC],-1,-1,260000,1100000,5300000,4.2,Infrastructure,161
57,"Galgotias University - GU, Greater Noida",Greater Noida,Uttar Pradesh,[NCTE AICTE COA PCI INC],-1,-1,177000,540000,15000000,3.8,Academics,162
